0 9102512 5572620 0 0 5319508 5249168 0 0
5 9104262 5573411 1750 791 5320223 5249917 715 749
10 9105273 5574197 1011 786 5320946 5250639 723 722
15 9106302 5574786 1029 589 5321487 5251170 541 531
20 9107311 5575395 1009 609 5322048 5251729 561 559
25 9108167 5575904 856 509 5322516 5252193 468 464
30 9108809 5576375 642 471 5322929 5252608 413 415
35 9110126 5577364 1317 989 5323873 5253539 944 931
40 9112466 5578697 2340 1333 5325163 5254824 1290 1285
45 9113848 5579452 1382 755 5325866 5255524 703 700
50 9114845 5580003 997 551 5326364 5256011 498 487
55 9116642 5581431 1797 1428 5327746 5257386 1382 1375
60 9117912 5582169 1270 738 5328444 5258081 698 695
65 9119469 5583150 1557 981 5329373 5259010 929 929
70 9120454 5583771 985 621 5329934 5259568 561 558
75 9121664 5584395 1210 624 5330505 5260136 571 568
80 9122703 5585002 1039 607 5331067 5260690 562 554
85 9123712 5585628 1009 626 5331651 5261277 584 587
90 9124576 5586141 864 513 5332119 5261737 468 460
95 9125909 5587092 1333 951 5333010 5262626 891 889
100 9126828 5587662 919 570 5333536 5263144 526 518
105 9128523 5588918 1695 1256 5334727 5264351 1191 1207
110 9129403 5589447 880 529 5335201 5264818 474 467
115 9130233 5590033 830 586 5335750 5265350 549 532
120 9131587 5591013 1354 980 5336710 5266276 960 926
125 9133049 5591806 1462 793 5337469 5267023 759 747
130 9134530 5592463 1481 657 5338078 5267627 609 604
135 9135450 5592944 920 481 5338510 5268052 432 425
140 9136958 5593801 1508 857 5339287 5268850 777 798
145 9138631 5594651 1673 850 5340097 5269671 810 821
150 9140363 5595322 1732 671 5340727 5270296 630 625
155 9141608 5595887 1245 565 5341236 5270802 509 506
160 9142656 5596464 1048 577 5341752 5271315 516 513
165 9143803 5597022 1147 558 5342270 5271822 518 507
170 9144906 5597616 1103 594 5342814 5272367 544 545
175 9145677 5598054 771 438 5343204 5272758 390 391
180 9146466 5598515 789 461 5343608 5273159 404 401
185 9147774 5599301 1308 786 5344351 5273893 743 734
190 9148919 5599927 1145 626 5344927 5274463 576 570
195 9149798 5600431 879 504 5345387 5274912 460 449
200 9150721 5600879 923 448 5345784 5275309 397 397
205 9151573 5601385 852 506 5346250 5275766 466 457
210 9152601 5601962 1028 577 5346778 5276292 528 526
215 9153774 5602631 1173 669 5347428 5276934 650 642
220 9155376 5603339 1602 708 5348075 5277576 647 642
225 9156301 5603830 925 491 5348516 5278014 441 438
230 9157194 5604352 893 522 5348987 5278478 471 464
235 9158370 5604932 1176 580 5349531 5279018 544 540
240 9159134 5605362 764 430 5349918 5279405 387 387
245 9160262 5606218 1128 856 5350721 5280207 803 802
250 9161308 5606823 1046 605 5351278 5280756 557 549
255 9162383 5607451 1075 628 5351854 5281329 576 573
260 9163516 5608074 1133 623 5352490 5281907 636 578
265 9164228 5608507 712 433 5352862 5282277 372 370
270 9165268 5609048 1040 541 5353368 5282765 506 488
275 9166588 5609732 1320 684 5354051 5283398 683 633
280 9168047 5610582 1459 850 5354902 5284203 851 805
285 9169138 5611182 1091 600 5355474 5284753 572 550
290 9170061 5611690 923 508 5355934 5285211 460 458
295 9170971 5612232 910 542 5356429 5285694 495 483
300 9172233 5612873 1262 641 5357036 5286299 607 605
305 9173202 5613398 969 525 5357514 5286776 478 477
310 9175042 5614216 1840 818 5358285 5287536 771 760
315 9177142 5615372 2100 1156 5359396 5288636 1111 1100
320 9179127 5616318 1985 946 5360312 5289542 916 906
325 9180403 5616917 1276 599 5360902 5290128 590 586
330 9181585 5617515 1182 598 5361411 5290635 509 507
335 9182319 5617985 734 470 5361832 5291044 421 409
340 9183638 5618796 1319 811 5362658 5291810 826 766
345 9185027 5619542 1389 746 5363358 5292511 700 701
350 9185921 5620009 894 467 5363774 5292926 416 415
355 9186546 5620417 625 408 5364129 5293278 355 352
360 9187823 5621121 1277 704 5364793 5293926 664 648
365 9189254 5621895 1431 774 5365545 5294677 752 751
370 9190412 5622543 1158 648 5366157 5295278 612 601
375 9192348 5623602 1936 1059 5367230 5296280 1073 1002
380 9196748 5627196 4400 3594 5370881 5299822 3651 3542
385 9198277 5628155 1529 959 5371854 5300743 973 921
390 9199756 5629034 1479 879 5372716 5301571 862 828
395 9200666 5629635 910 601 5373267 5302122 551 551
400 9201458 5630193 792 558 5373776 5302618 509 496
405 9202981 5631106 1523 913 5374703 5303476 927 858
410 9204201 5631856 1220 750 5375408 5304177 705 701
415 9205364 5632570 1163 714 5376101 5304852 693 675
420 9206417 5633212 1053 642 5376683 5305426 582 574
425 9207751 5634141 1334 929 5377563 5306296 880 870
430 9209165 5635061 1414 920 5378487 5307175 924 879
435 9210564 5635927 1399 866 5379305 5307986 818 811
440 9211522 5636433 958 506 5379762 5308441 457 455
445 9212991 5637476 1469 1043 5380771 5309438 1009 997
450 9214349 5638395 1358 919 5381630 5310285 859 847
455 9215531 5639108 1182 713 5382296 5310949 666 664
460 9216923 5639981 1392 873 5383187 5311777 891 828
465 9217583 5640425 660 444 5383568 5312156 381 379
470 9218893 5641446 1310 1021 5384535 5313115 967 959
475 9219905 5642011 1012 565 5385063 5313642 528 527
480 9220859 5642586 954 575 5385577 5314154 514 512
485 9221763 5643130 904 544 5386075 5314649 498 495
490 9222598 5643667 835 537 5386571 5315132 496 483
495 9223913 5644318 1315 651 5387175 5315723 604 591
500 9225563 5645428 1650 1110 5388239 5316787 1064 1064
505 9226665 5646067 1102 639 5388843 5317385 604 598
510 9227754 5646820 1089 753 5389537 5318073 694 688
515 9228715 5647377 961 557 5390056 5318577 519 504
520 9230322 5648464 1607 1087 5391103 5319627 1047 1050
525 9231480 5649180 1158 716 5391767 5320290 664 663
530 9232456 5649758 976 578 5392292 5320814 525 524
535 9233809 5650364 1353 606 5392846 5321360 554 546
540 9235199 5651032 1390 668 5393470 5321968 624 608
545 9236646 5651807 1447 775 5394198 5322692 728 724
550 9237697 5652533 1051 726 5394867 5323364 669 672
555 9239299 5653877 1602 1344 5396172 5324649 1305 1285
560 9240761 5654992 1462 1115 5397237 5325695 1065 1046
565 9241991 5655782 1230 790 5397984 5326432 747 737
570 9243896 5656954 1905 1172 5399099 5327543 1115 1111
575 9245130 5657605 1234 651 5399699 5328143 600 600
580 9246353 5658453 1223 848 5400481 5328921 782 778
585 9247080 5658914 727 461 5400887 5329323 406 402
590 9248182 5659435 1102 521 5401356 5329783 469 460
595 9249375 5660345 1193 910 5402217 5330640 861 857
600 9250723 5661086 1348 741 5402908 5331322 691 682
605 9251779 5661800 1056 714 5403563 5331979 655 657
610 9252739 5662470 960 670 5404174 5332586 611 607
615 9253848 5663173 1109 703 5404827 5333233 653 647
620 9254795 5663723 947 550 5405329 5333733 502 500
625 9255945 5664295 1150 572 5405852 5334255 523 522
630 9257222 5664984 1277 689 5406488 5334888 636 633
635 9258151 5665506 929 522 5406948 5335351 460 463
640 9259176 5666077 1025 571 5407489 5335881 541 530
645 9260393 5666907 1217 830 5408267 5336646 778 765
650 9261500 5667523 1107 616 5408838 5337215 571 569
655 9262970 5668549 1470 1026 5409815 5338200 977 985
660 9263991 5669281 1021 732 5410488 5338870 673 670
665 9264985 5669878 994 597 5411027 5339402 539 532
670 9265996 5670453 1011 575 5411562 5339920 535 518
675 9267207 5671137 1211 684 5412198 5340555 636 635
680 9268365 5671727 1158 590 5412764 5341108 566 553
685 9269036 5672196 671 469 5413174 5341516 410 408
690 9270103 5672852 1067 656 5413776 5342113 602 597
695 9271381 5673461 1278 609 5414346 5342679 570 566
700 9272758 5674177 1377 716 5415153 5343479 807 800
705 9273769 5674770 1011 593 5415704 5344021 551 542
710 9274858 5675268 1089 498 5416151 5344465 447 444
715 9275995 5675874 1137 606 5416728 5345027 577 562
720 9277191 5676529 1196 655 5417336 5345637 608 610
725 9278024 5677010 833 481 5417758 5346059 422 422
730 9278820 5677460 796 450 5418176 5346474 418 415
735 9279831 5678042 1011 582 5418724 5347011 548 537
740 9281736 5679155 1905 1113 5419807 5348088 1083 1077
745 9283180 5680025 1444 870 5420651 5348920 844 832
750 9284302 5680796 1122 771 5421368 5349639 717 719
755 9285757 5681676 1455 880 5422202 5350464 834 825
760 9288706 5684246 2949 2570 5424730 5352972 2528 2508
765 9290295 5685339 1589 1093 5425791 5354027 1061 1055
770 9291666 5685993 1371 654 5426433 5354652 642 625
775 9292658 5686615 992 622 5427040 5355214 607 562
780 9293544 5687198 886 583 5427582 5355744 542 530
785 9294433 5687730 889 532 5428057 5356217 475 473
790 9295516 5688385 1083 655 5428676 5356828 619 611
795 9296392 5688853 876 468 5429114 5357263 438 435
800 9297264 5689395 872 542 5429605 5357750 491 487
805 9298144 5689975 880 580 5430142 5358276 537 526
810 9299524 5690747 1380 772 5430872 5359007 730 731
815 9300649 5691468 1125 721 5431550 5359683 678 676
820 9301388 5691941 739 473 5431980 5360102 430 419
825 9302348 5692611 960 670 5432620 5360715 640 613
830 9303916 5693596 1568 985 5433564 5361647 944 932
835 9305367 5694500 1451 904 5434475 5362501 911 854
840 9306332 5695037 965 537 5434972 5362996 497 495
845 9308458 5696075 2126 1038 5435980 5363994 1008 998
850 9311268 5698451 2810 2376 5438369 5366314 2389 2320
855 9312353 5699097 1085 646 5438972 5366916 603 602
860 9313529 5699750 1176 653 5439577 5367513 605 597
865 9314341 5700221 812 471 5440002 5367939 425 426
870 9315138 5700667 797 446 5440394 5368329 392 390
875 9316008 5701217 870 550 5440899 5368824 505 495
880 9317472 5701949 1464 732 5441583 5369506 684 682
885 9318375 5702425 903 476 5442007 5369928 424 422
890 9319538 5703185 1163 760 5442715 5370630 708 702
895 9321602 5704520 2064 1335 5444002 5371916 1287 1286
900 9323025 5705288 1423 768 5444737 5372631 735 715
905 9324304 5706042 1279 754 5445455 5373343 718 712
910 9325123 5706527 819 485 5445889 5373775 434 432
915 9325998 5707068 875 541 5446404 5374255 515 480
920 9327385 5708011 1387 943 5447327 5375144 923 889
925 9329268 5708861 1883 850 5448150 5375969 823 825
930 9330310 5709548 1042 687 5448775 5376589 625 620
935 9331530 5710443 1220 895 5449618 5377430 843 841
940 9332776 5710953 1246 510 5450068 5377879 450 449
945 9333943 5711609 1167 656 5450688 5378489 620 610
950 9335174 5712298 1231 689 5451333 5379133 645 644
955 9336441 5712919 1267 621 5451926 5379730 593 597
960 9337713 5713593 1272 674 5452557 5380356 631 626
965 9338680 5714146 967 553 5453057 5380845 500 489
970 9339754 5714774 1074 628 5453642 5381425 585 580
975 9341679 5716107 1925 1333 5455007 5382720 1365 1295
980 9342946 5716703 1267 596 5455568 5383275 561 555
985 9343991 5717350 1045 647 5456158 5383860 590 585
990 9345539 5718307 1548 957 5457142 5384772 984 912
995 9346972 5719076 1433 769 5457899 5385502 757 730
1000 9350618 5721430 3646 2354 5460326 5387829 2427 2327
1005 9352465 5722866 1847 1436 5461716 5389209 1390 1380
1010 9353803 5723731 1338 865 5462525 5390018 809 809
1015 9355000 5724429 1197 698 5463176 5390659 651 641
1020 9402130 5773538 47130 49109 5513582 5441239 50406 50580
1025 9419544 5787982 17414 14444 5526653 5454129 13071 12890
1030 9420291 5788435 747 453 5527053 5454526 400 397
1035 9421225 5789031 934 596 5527598 5455064 545 538
1040 9422348 5789673 1123 642 5528194 5455652 596 588
1045 9423819 5790652 1471 979 5529133 5456590 939 938
1050 9426070 5791705 2251 1053 5530130 5457597 997 1007
1055 9426870 5792209 800 504 5530587 5458045 457 448
1060 9427843 5792768 973 559 5531105 5458550 518 505
1065 9429224 5793500 1381 732 5531796 5459239 691 689
1070 9430674 5794500 1450 1000 5532752 5460197 956 958
1075 9431780 5795106 1106 606 5533313 5460755 561 558
1080 9432727 5795640 947 534 5533795 5461234 482 479
1085 9433798 5796288 1071 648 5534408 5461838 613 604
